场地,2019-20,2020-21,2021-22,2022-23,2023-24
香港艺术馆,"116,493","233,273","579,036","583,537","1,558,365"
香港历史博物馆,"654,849","132,298","257,145","325,248","586,073"
香港科学馆,"875,809","101,930","1,074,769","1,101,143","1,351,783"
香港太空馆,"653,051","55,466","497,269","608,456","1,022,633"
香港文化博物馆,"538,610","94,243","326,427","450,561","766,916"
香港海防博物馆,,,,"84,953","168,016"
三栋屋博物馆,"68,339","9,189","33,764","57,387","103,718"
香港铁路博物馆,"200,702","66,779","134,354","168,518","246,098"
茶具文物馆,"108,760","24,267","55,407","78,135","94,888"
上窰民俗文物馆,"30,015","16,860","26,592","17,380","37,273"
罗屋民俗馆,"9,771","2,875","7,880","9,331","18,260"
李郑屋汉墓博物馆,"35,033","9,041","19,107","21,845","29,191"
香港电影资料馆,"106,203","21,205","44,497","64,354","96,407"
孙中山纪念馆,"56,184","10,811","47,386","68,747","89,656"
葛量洪号灭火轮展览馆,"40,021","18,849","50,346","63,511","62,275"
香港视觉艺术中心,"42,494","12,907","38,640","44,147","49,706"
油街实现,"129,708","39,011","81,835","623,175","719,109"
