场地,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
香港艺术馆,,"116,493","233,273","579,036","583,537","1,558,365","1,692,000"
香港历史博物馆,"1,238,417","654,849","132,298","257,145","325,248","586,073","944,000"
香港科学馆,"1,285,870","875,809","101,930","1,074,769","1,101,143","1,351,783","1,477,000"
香港太空馆,"983,175","653,051","55,466","497,269","608,456","1,022,633",
香港文化博物馆,"660,506","538,610","94,243","326,427","450,561","766,916","688,000"
香港海防博物馆,"64,507",,,,"84,953","168,016","161,000"
三栋屋博物馆,"116,451","68,339","9,189","33,764","57,387","103,718","142,000"
香港铁路博物馆,"277,775","200,702","66,779","134,354","168,518","246,098","227,000"
茶具文物馆,"198,203","108,760","24,267","55,407","78,135","94,888","96,000"
上窰民俗文物馆,"42,590","30,015","16,860","26,592","17,380","37,273","34,000"
罗屋民俗馆,"16,164","9,771","2,875","7,880","9,331","18,260","14,000"
李郑屋汉墓博物馆,"41,173","35,033","9,041","19,107","21,845","29,191","26,000"
香港电影资料馆,"145,490","106,203","21,205","44,497","64,354","96,407","96,000"
香港文物探知馆,"184,720",,,,,,
屏山邓族文物馆暨文物径访客中心,"69,735",,,,,,
孙中山纪念馆,"90,558","56,184","10,811","47,386","68,747","89,656","9,000"
葛量洪号灭火轮展览馆,"64,146","40,021","18,849","50,346","63,511","62,275","63,000"
香港视觉艺术中心,"75,156","42,494","12,907","38,640","44,147","49,706","53,000"
油街实现,"180,627","129,708","39,011","81,835","623,175","719,109","916,000"
